,time,open,high,low,close,vol
0,2021-02-28 16:40:00,43743.88,43766.58,43720.54,43725.84,36.32829413
1,2021-02-28 16:41:00,43733.02,43791.03,43728.36,43745.88,28.25826688
2,2021-02-28 16:42:00,43742.85,43813.27,43740.28,43812.79,22.48428696
3,2021-02-28 16:43:00,43809.83,43834.04,43784.94,43803.36,14.38016965
4,2021-02-28 16:44:00,43803.36,43804.57,43700.0,43705.21,18.04453042
5,2021-02-28 16:45:00,43705.2,43810.16,43705.2,43727.28,11.17366806
6,2021-02-28 16:46:00,43727.28,43741.52,43650.44,43655.0,14.88945728
7,2021-02-28 16:47:00,43654.91,43657.76,43569.4,43579.94,11.75218631
8,2021-02-28 16:48:00,43577.95,43647.68,43569.93,43626.01,9.46722277
9,2021-02-28 16:49:00,43626.02,43746.74,43620.65,43742.2,14.60990666
10,2021-02-28 16:50:00,43746.75,43791.87,43735.99,43764.98,26.7767572
11,2021-02-28 16:51:00,43758.3,43764.98,43699.55,43700.31,12.04105031
12,2021-02-28 16:52:00,43700.31,43747.5,43672.27,43708.86,11.28140634
13,2021-02-28 16:53:00,43708.86,43716.28,43690.31,43708.34,10.86837573
14,2021-02-28 16:54:00,43710.37,43726.71,43694.0,43713.07,7.7211523
15,2021-02-28 16:55:00,43713.07,43713.07,43601.87,43601.87,12.78511962
16,2021-02-28 16:56:00,43617.86,43679.48,43596.98,43641.51,17.03444945
17,2021-02-28 16:57:00,43633.36,43642.24,43620.22,43626.61,9.81090635
18,2021-02-28 16:58:00,43626.37,43650.0,43564.53,43642.77,11.96355214
19,2021-02-28 16:59:00,43638.15,43650.0,43576.24,43587.83,13.4902437
20,2021-02-28 17:00:00,43587.83,43587.83,43500.0,43569.74,13.68547698
21,2021-02-28 17:01:00,43569.74,43673.95,43533.24,43539.69,24.24453581
22,2021-02-28 17:02:00,43532.17,43538.47,43387.14,43419.13,44.47120788
23,2021-02-28 17:03:00,43411.81,43421.13,43330.0,43352.29,29.16121849
24,2021-02-28 17:04:00,43350.01,43420.0,43318.69,43386.11,14.20317219
25,2021-02-28 17:05:00,43407.54,43483.03,43352.0,43426.0,31.90312246
26,2021-02-28 17:06:00,43424.65,43464.43,43367.32,43389.0,16.38780409
27,2021-02-28 17:07:00,43391.3,43448.26,43391.3,43427.03,4.00835731
28,2021-02-28 17:08:00,43423.81,43460.55,43375.19,43454.61,10.10564525
29,2021-02-28 17:09:00,43455.19,43456.29,43400.0,43415.91,12.29881711
30,2021-02-28 17:10:00,43418.18,43460.65,43413.41,43458.94,11.59721691
31,2021-02-28 17:11:00,43459.55,43523.73,43454.21,43515.68,24.9289711
32,2021-02-28 17:12:00,43515.67,43700.0,43503.22,43700.0,19.29760921
33,2021-02-28 17:13:00,43699.99,43770.62,43636.25,43704.2,16.19609843
34,2021-02-28 17:14:00,43705.69,43711.37,43633.59,43660.63,14.74628758
35,2021-02-28 17:15:00,43660.63,43808.55,43650.42,43767.34,19.39230486
36,2021-02-28 17:16:00,43767.82,43853.32,43700.56,43853.32,17.21087018
37,2021-02-28 17:17:00,43833.86,43989.0,43782.51,43977.24,35.25114289
38,2021-02-28 17:18:00,43976.7,43976.7,43832.53,43852.62,22.85230018
39,2021-02-28 17:19:00,43852.62,43925.0,43802.19,43820.61,6.4061831
40,2021-02-28 17:20:00,43820.6,43899.6,43788.87,43817.95,6.87437119
41,2021-02-28 17:21:00,43813.15,43863.71,43790.15,43815.0,12.69312347
42,2021-02-28 17:22:00,43815.0,43856.76,43809.03,43844.3,9.45520684
43,2021-02-28 17:23:00,43844.3,43855.0,43776.37,43795.37,7.31485955
44,2021-02-28 17:24:00,43795.37,43808.36,43745.1,43807.79,12.01825004
45,2021-02-28 17:25:00,43807.67,43817.52,43752.76,43812.28,9.85928871
46,2021-02-28 17:26:00,43812.28,43816.13,43728.27,43738.47,14.6394355
47,2021-02-28 17:27:00,43738.47,43797.18,43728.29,43729.19,7.44201293
48,2021-02-28 17:28:00,43729.18,43729.18,43634.49,43646.15,27.77894623
49,2021-02-28 17:29:00,43646.16,43646.8,43543.68,43595.84,26.48668486
50,2021-02-28 17:30:00,43598.45,43602.35,43489.96,43523.37,27.36840841
